time;gFx;gFy;gFz;TgF
1,498000;-0,1365;0,7888;0,5890;0,994
1,503000;-0,1377;0,7888;0,5898;0,995
1,521000;-0,1411;0,7883;0,5947;0,998
1,523000;-0,1387;0,7881;0,5893;0,994
1,524000;-0,1406;0,7886;0,5861;0,993
1,524000;-0,1409;0,7861;0,5878;0,992
1,528000;-0,1409;0,7847;0,5834;0,988
1,533000;-0,1392;0,7852;0,5793;0,986
1,538000;-0,1372;0,7896;0,5763;0,987
1,544000;-0,1374;0,7859;0,5795;0,986
1,548000;-0,1330;0,7879;0,5820;0,988
1,553000;-0,1335;0,7874;0,5815;0,988
1,564000;-0,1360;0,7893;0,5810;0,989
1,565000;-0,1372;0,7871;0,5776;0,986
1,568000;-0,1365;0,7881;0,5798;0,988
1,574000;-0,1367;0,7886;0,5803;0,989
1,578000;-0,1355;0,7888;0,5795;0,988
1,584000;-0,1348;0,7888;0,5778;0,987
1,589000;-0,1362;0,7893;0,5803;0,989
1,594000;-0,1411;0,7881;0,5785;0,988
1,599000;-0,1426;0,7888;0,5759;0,987
1,605000;-0,1399;0,7891;0,5827;0,991
1,622000;-0,1377;0,7876;0,5754;0,985
1,623000;-0,1338;0,7852;0,5810;0,986
1,624000;-0,1333;0,7876;0,5783;0,986
1,625000;-0,1338;0,7859;0,5788;0,985
1,629000;-0,1355;0,7854;0,5856;0,989
1,634000;-0,1377;0,7883;0,5883;0,993
1,644000;-0,1360;0,7854;0,5900;0,992
1,646000;-0,1345;0,7849;0,5898;0,991
1,650000;-0,1335;0,7854;0,5900;0,991
1,655000;-0,1360;0,7883;0,5915;0,995
1,663000;-0,1379;0,7857;0,5976;0,997
1,665000;-0,1401;0,7854;0,5961;0,996
1,670000;-0,1394;0,7869;0,5964;0,997
1,675000;-0,1399;0,7876;0,5952;0,997
1,680000;-0,1399;0,7871;0,5925;0,995
1,685000;-0,1372;0,7864;0,5900;0,993
1,691000;-0,1367;0,7886;0,5900;0,994
1,695000;-0,1333;0,7874;0,5827;0,989
1,700000;-0,1252;0,7839;0,5810;0,984
1,708000;-0,1294;0,7837;0,5815;0,984
1,709000;-0,1262;0,7842;0,5778;0,982
1,715000;-0,1240;0,7810;0,5778;0,979
1,720000;-0,1272;0,7798;0,5776;0,979
1,736000;-0,1289;0,7800;0,5807;0,981
1,737000;-0,1262;0,7847;0,5759;0,981
1,737000;-0,1291;0,7842;0,5810;0,984
1,759000;-0,1338;0,7842;0,5827;0,986
1,760000;-0,1357;0,7881;0,5859;0,991
1,760000;-0,1372;0,7896;0,5895;0,995
1,761000;-0,1428;0,7888;0,5847;0,992
1,763000;-0,1453;0,7896;0,5834;0,992
1,766000;-0,1460;0,7908;0,5827;0,993
1,771000;-0,1477;0,7945;0,5871;0,999
1,778000;-0,1484;0,7947;0,5859;0,998
1,780000;-0,1477;0,7937;0,5849;0,997
1,786000;-0,1484;0,7949;0,5861;0,999
1,791000;-0,1501;0,7918;0,5878;0,997
1,796000;-0,1470;0,7937;0,5822;0,995
1,801000;-0,1453;0,7891;0,5805;0,990
1,807000;-0,1436;0,7871;0,5783;0,987
1,811000;-0,1372;0,7864;0,5759;0,984
1,816000;-0,1350;0,7871;0,5700;0,981
1,821000;-0,1330;0,7881;0,5697;0,982
1,837000;-0,1311;0,7849;0,5685;0,978
1,838000;-0,1284;0,7854;0,5710;0,979
1,839000;-0,1289;0,7839;0,5737;0,980
1,861000;-0,1250;0,7847;0,5734;0,980
1,862000;-0,1255;0,7859;0,5732;0,981
1,863000;-0,1316;0,7857;0,5810;0,986
1,863000;-0,1282;0,7869;0,5849;0,989
1,864000;-0,1267;0,7857;0,5878;0,989
1,880000;-0,1350;0,7854;0,5917;0,993
1,881000;-0,1392;0,7849;0,5959;0,995
1,881000;-0,1348;0,7849;0,5993;0,997
1,882000;-0,1377;0,7861;0,5986;0,998
1,901000;-0,1387;0,7871;0,5971;0,998
1,902000;-0,1372;0,7842;0,6025;0,998
1,903000;-0,1384;0,7847;0,6022;0,999
1,903000;-0,1394;0,7869;0,6000;0,999
1,921000;-0,1350;0,7852;0,5988;0,997
1,922000;-0,1343;0,7844;0,5966;0,995
1,923000;-0,1362;0,7832;0,5934;0,992
1,923000;-0,1316;0,7810;0,5912;0,988
1,939000;-0,1304;0,7830;0,5893;0,989
1,941000;-0,1284;0,7837;0,5822;0,985
1,941000;-0,1265;0,7820;0,5790;0,981
1,962000;-0,1269;0,7861;0,5817;0,986
1,963000;-0,1301;0,7842;0,5783;0,983
1,963000;-0,1326;0,7859;0,5778;0,984
1,963000;-0,1299;0,7857;0,5793;0,985
1,963000;-0,1306;0,7835;0,5790;0,983
1,974000;-0,1335;0,7879;0,5759;0,985
1,975000;-0,1348;0,7918;0,5737;0,987
1,987000;-0,1372;0,7923;0,5783;0,990
1,988000;-0,1414;0,7927;0,5800;0,992
1,989000;-0,1465;0,7896;0,5839;0,993
2,002000;-0,1458;0,7891;0,5842;0,993
2,002000;-0,1455;0,7881;0,5871;0,993
2,004000;-0,1467;0,7910;0,5837;0,994
2,018000;-0,1482;0,7903;0,5822;0,993
